frequency	mag	phase
44668359200	-62.7528727	-355.355915
50118723400	-62.7372777	-354.797357
56234132500	-62.7177489	-354.175317
63095734400	-62.6933265	-353.483758
70794578400	-62.6628354	-352.716576
79432823500	-62.6248466	-351.867836
89125093800	-62.5776385	-350.932102
100000000000	-62.5191608	-349.904898
112201845000	-62.4470075	-348.783324
125892541000	-62.3584078	-347.56684
141253754000	-62.2502479	-346.258216
158489319000	-62.1191385	-344.86463
177827941000	-61.9615461	-343.398804
199526231000	-61.7740018	-341.880057
223872114000	-61.553397	-340.33501
251188643000	-61.2973551	-338.797687
281838293000	-61.0046487	-337.308667
316227766000	-60.6756014	-335.913092
354813389000	-60.3123895	-334.657471
398107171000	-59.9191538	-333.585556
446683592000	-59.5018506	-332.73388
501187234000	-59.0678224	-332.127799
562341325000	-58.6251387	-331.778901
630957344000	-58.1818247	-331.684398
707945784000	-57.7451282	-331.828629
794328235000	-57.3209673	-332.186295
891250938000	-56.913647	-332.726624
1000000000000	-56.5258583	-333.417546
