 v-sweep         v(v1)           v(v2)           v(vout)        
 1.25000000e+00  1.25000000e+00  0.00000000e+00  1.79988930e+00 
 1.26000000e+00  1.26000000e+00  0.00000000e+00  1.79988930e+00 
 1.27000000e+00  1.27000000e+00  0.00000000e+00  1.79988930e+00 
 1.28000000e+00  1.28000000e+00  0.00000000e+00  1.79988930e+00 
 1.29000000e+00  1.29000000e+00  0.00000000e+00  1.79988930e+00 
 1.30000000e+00  1.30000000e+00  0.00000000e+00  1.79988930e+00 
 1.31000000e+00  1.31000000e+00  0.00000000e+00  1.79988929e+00 
 1.32000000e+00  1.32000000e+00  0.00000000e+00  1.79988930e+00 
 1.33000000e+00  1.33000000e+00  0.00000000e+00  1.79988930e+00 
 1.34000000e+00  1.34000000e+00  0.00000000e+00  1.79988930e+00 
 1.35000000e+00  1.35000000e+00  0.00000000e+00  1.79988930e+00 
 1.36000000e+00  1.36000000e+00  0.00000000e+00  1.79988930e+00 
 1.37000000e+00  1.37000000e+00  0.00000000e+00  1.79988930e+00 
 1.38000000e+00  1.38000000e+00  0.00000000e+00  1.79988930e+00 
 1.39000000e+00  1.39000000e+00  0.00000000e+00  1.79988930e+00 
 1.40000000e+00  1.40000000e+00  0.00000000e+00  1.79988930e+00 
 1.41000000e+00  1.41000000e+00  0.00000000e+00  1.79988930e+00 
 1.42000000e+00  1.42000000e+00  0.00000000e+00  1.79988930e+00 
 1.43000000e+00  1.43000000e+00  0.00000000e+00  1.79988930e+00 
 1.44000000e+00  1.44000000e+00  0.00000000e+00  1.79988930e+00 
 1.45000000e+00  1.45000000e+00  0.00000000e+00  1.79988930e+00 
 1.46000000e+00  1.46000000e+00  0.00000000e+00  1.79988930e+00 
 1.47000000e+00  1.47000000e+00  0.00000000e+00  1.79988930e+00 
 1.48000000e+00  1.48000000e+00  0.00000000e+00  1.79988930e+00 
 1.49000000e+00  1.49000000e+00  0.00000000e+00  1.79988930e+00 
 1.50000000e+00  1.50000000e+00  0.00000000e+00  1.79988930e+00 
 1.51000000e+00  1.51000000e+00  0.00000000e+00  1.79988930e+00 
 1.52000000e+00  1.52000000e+00  0.00000000e+00  1.79988930e+00 
 1.53000000e+00  1.53000000e+00  0.00000000e+00  1.79988930e+00 
 1.54000000e+00  1.54000000e+00  0.00000000e+00  1.79988930e+00 
 1.55000000e+00  1.55000000e+00  0.00000000e+00  1.79988930e+00 
 1.56000000e+00  1.56000000e+00  0.00000000e+00  1.79988930e+00 
 1.57000000e+00  1.57000000e+00  0.00000000e+00  1.79988930e+00 
 1.58000000e+00  1.58000000e+00  0.00000000e+00  1.79988930e+00 
 1.59000000e+00  1.59000000e+00  0.00000000e+00  1.79988930e+00 
 1.60000000e+00  1.60000000e+00  0.00000000e+00  1.79988930e+00 
 1.61000000e+00  1.61000000e+00  0.00000000e+00  1.79988930e+00 
 1.62000000e+00  1.62000000e+00  0.00000000e+00  1.79988930e+00 
 1.63000000e+00  1.63000000e+00  0.00000000e+00  1.79988930e+00 
 1.64000000e+00  1.64000000e+00  0.00000000e+00  1.79988930e+00 
 1.65000000e+00  1.65000000e+00  0.00000000e+00  1.79988930e+00 
 1.66000000e+00  1.66000000e+00  0.00000000e+00  1.79988930e+00 
 1.67000000e+00  1.67000000e+00  0.00000000e+00  1.79988929e+00 
 1.68000000e+00  1.68000000e+00  0.00000000e+00  1.79988930e+00 
 1.69000000e+00  1.69000000e+00  0.00000000e+00  1.79988930e+00 
 1.70000000e+00  1.70000000e+00  0.00000000e+00  1.79988930e+00 
 1.71000000e+00  1.71000000e+00  0.00000000e+00  1.79988930e+00 
 1.72000000e+00  1.72000000e+00  0.00000000e+00  1.79988930e+00 
 1.73000000e+00  1.73000000e+00  0.00000000e+00  1.79988930e+00 
 1.74000000e+00  1.74000000e+00  0.00000000e+00  1.79988930e+00 
 1.75000000e+00  1.75000000e+00  0.00000000e+00  1.79988930e+00 
 1.76000000e+00  1.76000000e+00  0.00000000e+00  1.79988930e+00 
 1.77000000e+00  1.77000000e+00  0.00000000e+00  1.79988930e+00 
 1.78000000e+00  1.78000000e+00  0.00000000e+00  1.79988930e+00 
 1.79000000e+00  1.79000000e+00  0.00000000e+00  1.79988930e+00 
 1.80000000e+00  1.80000000e+00  0.00000000e+00  1.79988930e+00 
 0.00000000e+00  0.00000000e+00  3.00000000e-01  1.24198365e-04 
 1.00000000e-02  1.00000000e-02  3.00000000e-01  1.43380312e-04 
 2.00000000e-02  2.00000000e-02  3.00000000e-01  1.67283064e-04 
 3.00000000e-02  3.00000000e-02  3.00000000e-01  1.97376246e-04 
 4.00000000e-02  4.00000000e-02  3.00000000e-01  2.35592301e-04 
 5.00000000e-02  5.00000000e-02  3.00000000e-01  2.84459233e-04 
 6.00000000e-02  6.00000000e-02  3.00000000e-01  3.47250387e-04 
 7.00000000e-02  7.00000000e-02  3.00000000e-01  4.28214954e-04 
 8.00000000e-02  8.00000000e-02  3.00000000e-01  5.32780228e-04 
 9.00000000e-02  9.00000000e-02  3.00000000e-01  6.67830772e-04 
 1.00000000e-01  1.00000000e-01  3.00000000e-01  8.41970738e-04 
 1.10000000e-01  1.10000000e-01  3.00000000e-01  1.06575992e-03 
 1.20000000e-01  1.20000000e-01  3.00000000e-01  1.35190774e-03 
 1.30000000e-01  1.30000000e-01  3.00000000e-01  1.71537461e-03 
 1.40000000e-01  1.40000000e-01  3.00000000e-01  2.17345448e-03 
 1.50000000e-01  1.50000000e-01  3.00000000e-01  2.74589402e-03 
 1.60000000e-01  1.60000000e-01  3.00000000e-01  3.45511599e-03 
 1.70000000e-01  1.70000000e-01  3.00000000e-01  4.32668775e-03 
 1.80000000e-01  1.80000000e-01  3.00000000e-01  5.39008222e-03 
 1.90000000e-01  1.90000000e-01  3.00000000e-01  6.67983769e-03 
 2.00000000e-01  2.00000000e-01  3.00000000e-01  8.23746567e-03 
 2.10000000e-01  2.10000000e-01  3.00000000e-01  1.01143895e-02 
 2.20000000e-01  2.20000000e-01  3.00000000e-01  1.23770256e-02 
 2.30000000e-01  2.30000000e-01  3.00000000e-01  1.51157193e-02 
 2.40000000e-01  2.40000000e-01  3.00000000e-01  1.84620660e-02 
 2.50000000e-01  2.50000000e-01  3.00000000e-01  2.26249478e-02 
 2.60000000e-01  2.60000000e-01  3.00000000e-01  2.80041523e-02 
 2.70000000e-01  2.70000000e-01  3.00000000e-01  3.53611844e-02 
 2.80000000e-01  2.80000000e-01  3.00000000e-01  4.68324551e-02 
 2.90000000e-01  2.90000000e-01  3.00000000e-01  7.10974585e-02 
 3.00000000e-01  3.00000000e-01  3.00000000e-01  9.91378940e-01 
 3.10000000e-01  3.10000000e-01  3.00000000e-01  1.75332270e+00 
