frequency	Tmag	Tphase
25118864300	-72.1014195	-359.326486
28183829300	-72.1007089	-359.351842
31622776600	-72.0998092	-359.368968
35481338900	-72.0986773	-359.378243
39810717100	-72.0972608	-359.379998
44668359200	-72.0954962	-359.374548
50118723400	-72.0933088	-359.362223
56234132500	-72.0906118	-359.343414
63095734400	-72.0873076	-359.318633
70794578400	-72.0832921	-359.288582
79432823500	-72.0784613	-359.254246
89125093800	-72.0727261	-359.217001
100000000000	-72.0660354	-359.178733
112201845000	-72.0584127	-359.141948
125892541000	-72.0500114	-359.10985
141253754000	-72.0411921	-359.086316
158489319000	-72.0326255	-359.075691
177827941000	-72.0254168	-359.082262
199526231000	-72.0212393	-359.109241
223872114000	-72.0224461	-359.157081
251188643000	-72.032106	-359.220983
281838293000	-72.0538824	-359.287589
316227766000	-72.0916496	-359.331164
354813389000	-72.1487353	-359.309988
398107171000	-72.2267074	-359.164334
446683592000	-72.3237141	-358.818082
501187234000	-72.4325855	-358.186676
562341325000	-72.5392451	-357.193999
630957344000	-72.622443	-355.798746
707945784000	-72.6561233	-354.025285
794328235000	-72.6152064	-351.985381
891250938000	-72.4835923	-349.872173
1000000000000	-72.2606666	-347.917628
