 v-sweep         v(V2)           v(Vout)        
 3.44000000e-01  0.00000000e+00  1.79988742e+00 
 3.45000000e-01  0.00000000e+00  1.79988748e+00 
 3.46000000e-01  0.00000000e+00  1.79988753e+00 
 3.47000000e-01  0.00000000e+00  1.79988758e+00 
 3.48000000e-01  0.00000000e+00  1.79988763e+00 
 3.49000000e-01  0.00000000e+00  1.79988768e+00 
 3.50000000e-01  0.00000000e+00  1.79988773e+00 
 3.51000000e-01  0.00000000e+00  1.79988777e+00 
 3.52000000e-01  0.00000000e+00  1.79988782e+00 
 3.53000000e-01  0.00000000e+00  1.79988786e+00 
 3.54000000e-01  0.00000000e+00  1.79988790e+00 
 3.55000000e-01  0.00000000e+00  1.79988794e+00 
 3.56000000e-01  0.00000000e+00  1.79988798e+00 
 3.57000000e-01  0.00000000e+00  1.79988802e+00 
 3.58000000e-01  0.00000000e+00  1.79988805e+00 
 3.59000000e-01  0.00000000e+00  1.79988809e+00 
 3.60000000e-01  0.00000000e+00  1.79988812e+00 
 3.61000000e-01  0.00000000e+00  1.79988816e+00 
 3.62000000e-01  0.00000000e+00  1.79988819e+00 
 3.63000000e-01  0.00000000e+00  1.79988822e+00 
 3.64000000e-01  0.00000000e+00  1.79988825e+00 
 3.65000000e-01  0.00000000e+00  1.79988828e+00 
 3.66000000e-01  0.00000000e+00  1.79988831e+00 
 3.67000000e-01  0.00000000e+00  1.79988834e+00 
 3.68000000e-01  0.00000000e+00  1.79988836e+00 
 3.69000000e-01  0.00000000e+00  1.79988839e+00 
 3.70000000e-01  0.00000000e+00  1.79988841e+00 
 3.71000000e-01  0.00000000e+00  1.79988844e+00 
 3.72000000e-01  0.00000000e+00  1.79988846e+00 
 3.73000000e-01  0.00000000e+00  1.79988848e+00 
 3.74000000e-01  0.00000000e+00  1.79988850e+00 
 3.75000000e-01  0.00000000e+00  1.79988852e+00 
 3.76000000e-01  0.00000000e+00  1.79988855e+00 
 3.77000000e-01  0.00000000e+00  1.79988857e+00 
 3.78000000e-01  0.00000000e+00  1.79988859e+00 
 3.79000000e-01  0.00000000e+00  1.79988861e+00 
 3.80000000e-01  0.00000000e+00  1.79988863e+00 
 3.81000000e-01  0.00000000e+00  1.79988864e+00 
 3.82000000e-01  0.00000000e+00  1.79988866e+00 
 3.83000000e-01  0.00000000e+00  1.79988868e+00 
 3.84000000e-01  0.00000000e+00  1.79988869e+00 
 3.85000000e-01  0.00000000e+00  1.79988871e+00 
 3.86000000e-01  0.00000000e+00  1.79988872e+00 
 3.87000000e-01  0.00000000e+00  1.79988874e+00 
 3.88000000e-01  0.00000000e+00  1.79988875e+00 
 3.89000000e-01  0.00000000e+00  1.79988877e+00 
 3.90000000e-01  0.00000000e+00  1.79988878e+00 
 3.91000000e-01  0.00000000e+00  1.79988879e+00 
 3.92000000e-01  0.00000000e+00  1.79988881e+00 
 3.93000000e-01  0.00000000e+00  1.79988882e+00 
 3.94000000e-01  0.00000000e+00  1.79988883e+00 
 3.95000000e-01  0.00000000e+00  1.79988884e+00 
 3.96000000e-01  0.00000000e+00  1.79988885e+00 
 3.97000000e-01  0.00000000e+00  1.79988886e+00 
 3.98000000e-01  0.00000000e+00  1.79988887e+00 
 3.99000000e-01  0.00000000e+00  1.79988888e+00 
 4.00000000e-01  0.00000000e+00  1.79988889e+00 
 4.01000000e-01  0.00000000e+00  1.79988890e+00 
 4.02000000e-01  0.00000000e+00  1.79988891e+00 
 4.03000000e-01  0.00000000e+00  1.79988892e+00 
 4.04000000e-01  0.00000000e+00  1.79988893e+00 
 4.05000000e-01  0.00000000e+00  1.79988893e+00 
 4.06000000e-01  0.00000000e+00  1.79988894e+00 
 4.07000000e-01  0.00000000e+00  1.79988895e+00 
 4.08000000e-01  0.00000000e+00  1.79988896e+00 
 4.09000000e-01  0.00000000e+00  1.79988897e+00 
 4.10000000e-01  0.00000000e+00  1.79988897e+00 
 4.11000000e-01  0.00000000e+00  1.79988898e+00 
 4.12000000e-01  0.00000000e+00  1.79988898e+00 
 4.13000000e-01  0.00000000e+00  1.79988899e+00 
 4.14000000e-01  0.00000000e+00  1.79988900e+00 
 4.15000000e-01  0.00000000e+00  1.79988900e+00 
 4.16000000e-01  0.00000000e+00  1.79988901e+00 
 4.17000000e-01  0.00000000e+00  1.79988902e+00 
 4.18000000e-01  0.00000000e+00  1.79988902e+00 
 4.19000000e-01  0.00000000e+00  1.79988902e+00 
 4.20000000e-01  0.00000000e+00  1.79988903e+00 
 4.21000000e-01  0.00000000e+00  1.79988904e+00 
 4.22000000e-01  0.00000000e+00  1.79988904e+00 
 4.23000000e-01  0.00000000e+00  1.79988905e+00 
 4.24000000e-01  0.00000000e+00  1.79988905e+00 
 4.25000000e-01  0.00000000e+00  1.79988905e+00 
 4.26000000e-01  0.00000000e+00  1.79988906e+00 
 4.27000000e-01  0.00000000e+00  1.79988906e+00 
 4.28000000e-01  0.00000000e+00  1.79988907e+00 
 4.29000000e-01  0.00000000e+00  1.79988907e+00 
 4.30000000e-01  0.00000000e+00  1.79988908e+00 
 4.31000000e-01  0.00000000e+00  1.79988908e+00 
 4.32000000e-01  0.00000000e+00  1.79988908e+00 
 4.33000000e-01  0.00000000e+00  1.79988908e+00 
 4.34000000e-01  0.00000000e+00  1.79988909e+00 
 4.35000000e-01  0.00000000e+00  1.79988909e+00 
 4.36000000e-01  0.00000000e+00  1.79988909e+00 
 4.37000000e-01  0.00000000e+00  1.79988910e+00 
 4.38000000e-01  0.00000000e+00  1.79988910e+00 
 4.39000000e-01  0.00000000e+00  1.79988910e+00 
 4.40000000e-01  0.00000000e+00  1.79988911e+00 
 4.41000000e-01  0.00000000e+00  1.79988911e+00 
 4.42000000e-01  0.00000000e+00  1.79988911e+00 
 4.43000000e-01  0.00000000e+00  1.79988911e+00 
 4.44000000e-01  0.00000000e+00  1.79988911e+00 
 4.45000000e-01  0.00000000e+00  1.79988912e+00 
 4.46000000e-01  0.00000000e+00  1.79988912e+00 
 4.47000000e-01  0.00000000e+00  1.79988912e+00 
 4.48000000e-01  0.00000000e+00  1.79988913e+00 
 4.49000000e-01  0.00000000e+00  1.79988913e+00 
 4.50000000e-01  0.00000000e+00  1.79988913e+00 
 4.51000000e-01  0.00000000e+00  1.79988913e+00 
 4.52000000e-01  0.00000000e+00  1.79988913e+00 
 4.53000000e-01  0.00000000e+00  1.79988913e+00 
 4.54000000e-01  0.00000000e+00  1.79988913e+00 
 4.55000000e-01  0.00000000e+00  1.79988914e+00 
 4.56000000e-01  0.00000000e+00  1.79988914e+00 
 4.57000000e-01  0.00000000e+00  1.79988914e+00 
 4.58000000e-01  0.00000000e+00  1.79988914e+00 
 4.59000000e-01  0.00000000e+00  1.79988914e+00 
 4.60000000e-01  0.00000000e+00  1.79988914e+00 
 4.61000000e-01  0.00000000e+00  1.79988915e+00 
 4.62000000e-01  0.00000000e+00  1.79988915e+00 
 4.63000000e-01  0.00000000e+00  1.79988915e+00 
 4.64000000e-01  0.00000000e+00  1.79988915e+00 
 4.65000000e-01  0.00000000e+00  1.79988915e+00 
 4.66000000e-01  0.00000000e+00  1.79988915e+00 
 4.67000000e-01  0.00000000e+00  1.79988915e+00 
 4.68000000e-01  0.00000000e+00  1.79988915e+00 
 4.69000000e-01  0.00000000e+00  1.79988916e+00 
 4.70000000e-01  0.00000000e+00  1.79988916e+00 
 4.71000000e-01  0.00000000e+00  1.79988916e+00 
 4.72000000e-01  0.00000000e+00  1.79988916e+00 
 4.73000000e-01  0.00000000e+00  1.79988916e+00 
 4.74000000e-01  0.00000000e+00  1.79988916e+00 
 4.75000000e-01  0.00000000e+00  1.79988916e+00 
 4.76000000e-01  0.00000000e+00  1.79988916e+00 
 4.77000000e-01  0.00000000e+00  1.79988916e+00 
 4.78000000e-01  0.00000000e+00  1.79988916e+00 
 4.79000000e-01  0.00000000e+00  1.79988916e+00 
